month,unique_makers,fills
2024-10-01 00:00:00.000 UTC,234579,12025480
2024-11-01 00:00:00.000 UTC,302130,12518479
2024-12-01 00:00:00.000 UTC,355467,18039003
2025-01-01 00:00:00.000 UTC,459568,10117833
2025-02-01 00:00:00.000 UTC,416217,6305767
2025-03-01 00:00:00.000 UTC,376273,5918611
2025-04-01 00:00:00.000 UTC,324365,5753101
2025-05-01 00:00:00.000 UTC,274296,6751162
2025-06-01 00:00:00.000 UTC,234040,6136357
2025-07-01 00:00:00.000 UTC,280125,7031650
2025-08-01 00:00:00.000 UTC,222136,7156547
2025-09-01 00:00:00.000 UTC,241782,7850796
2025-10-01 00:00:00.000 UTC,465005,16761884
2025-11-01 00:00:00.000 UTC,485174,25135420
2025-12-01 00:00:00.000 UTC,499837,38073819
2026-01-01 00:00:00.000 UTC,615026,65399996
2026-02-01 00:00:00.000 UTC,638579,96351967
2026-03-01 00:00:00.000 UTC,746927,139633800
2026-04-01 00:00:00.000 UTC,423814,49855480
