wallet,volume_usdc,trades
0x204f72f35326db932158cba6adff0b9a1da95e14,73472779.20881394,580000
0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,66761914.766301,9506
0x492442eab586f242b53bda933fd5de859c8a3782,56546344.37526398,2251
0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86,31837396.573925946,531646
0x6d3c5bd13984b2de47c3a88ddc455309aab3d294,30104648.73033697,229859
0x8a6c6811e8937f9e8afc1b9249fa540262c30b3f,28077578.674362004,1119
0x4133bcbad1d9c41de776646696f41c34d0a65e70,27898799.217513967,205858
0xead152b855effa6b5b5837f53b24c0756830c76a,27527985.172264993,182854
0x2005d16a84ceefa912d4e380cd32e7ff827875ea,23127403.109741848,239951
0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,22937999.878248006,483047
0xa8b202e6e9a4c2091b6860f1f5c9e9119bbc9a39,22582393.912585005,1704
0xd84c2b6d65dc596f49c7b6aadd6d74ca91e407b9,22019394.379997034,57658
0x37c1874a60d348903594a96703e0507c518fc53a,20528796.002670005,14131
0xd106952ebf30a3125affd8a23b6c1f30c35fc79c,20360758.45255799,105654
0x3b5c629f114098b0dee345fb78b7a3a013c7126e,18365667.372056987,30423
0x507e52ef684ca2dd91f90a9d26d149dd3288beae,15383374.746109003,116116
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,13831472.857568,3272
0x241f846866c2de4fb67cdb0ca6b963d85e56ef50,13758806.481742,4496
0xee613b3fc183ee44f9da9c05f53e2da107e3debf,13204726.659560988,28425
0x2eb5714ff6f20f5f9f7662c556dbef5e1c9bf4d4,13075959.499116993,402834
0xd6a3f0ec6c4a8ad680d580610c82ca57ff139489,12803010.91408599,23361
0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e,12712718.352708016,37298
0x7ea571c40408f340c1c8fc8eaacebab53c1bde7b,12470466.221356992,77518
0x03e8a544e97eeff5753bc1e90d46e5ef22af1697,11789242.818065008,624
0xd0d6053c3c37e727402d84c14069780d360993aa,11771332.577533007,585168
0x0b9cae2b0dfe7a71c413e0604eaac1c352f87e44,11655370.739338793,119219
0xde17f7144fbd0eddb2679132c10ff5e74b120988,11012832.16551299,75213
0x732f189193d7a8c8bc8d8eb91f501a22736af081,10714070.033389995,554759
0xb45a797faa52b0fd8adc56d30382022b7b12192c,10687823.922454003,1218
0xd04d93be590ded67b99f053d4b6d29d3f8483312,10604464.240421003,4496
0x07b8e44b90cc3e91b8d5fe60ea810d2534638e25,10465214.520258998,3611
0x1455445e9a775cfa3fe9fc4b02bb4d2f682ae5cd,10429356.764156999,11076
0xd1ebe815f921b3ebbd8d9e0a4192c6ab18360f5c,10389539.739867995,394482
0xba264376d6fef08f23a44db4153d12d47f5f23c9,10304567.254997006,19372
0x2785e7022dc20757108204b13c08cea8613b70ae,10013010.048152,583
0xd0e77a638c0b0ddeef9a59db053d596d63fab14f,9857727.903157007,115077
0xdc876e6873772d38716fda7f2452a78d426d7ab6,9742361.079834007,5636
0x9976874011b081e1e408444c579f48aa5b5967da,9620281.158828,542
0xadc2efbf97ce7b25f7a638aabdba196c657cd1c9,9241592.981764998,336
0xfc25f141ed27bb1787338d2c4e7f51e3a15e1f7f,9211012.469482,6520
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,8942075.734486992,28127
0x63ce342161250d705dc0b16df89036c8e5f9ba9a,8919451.304145003,221166
0x54096e86cac2d70d04fd98ee16f633c7e9d479db,8820353.143606005,12719
0xa42f127d7e8df9f16881ffcc9ed0bc0326875f5a,8577292.577040996,286658
0xc2e7800b5af46e6093872b177b7a5e7f0563be51,8542120.069345001,157
0xf6d91fbbefacade7d5908eb13e16acf1efeb305e,7872394.186400997,3123
0x07bdcabf60da99be8fad11092bf4e8412cffe993,7822199.150498998,1756
0xa8e089ade142c95538e06196e09c85681112ad50,7631364.8391929995,5357
0xa49becb692927d455924583b5e3e5788246f4c40,7534646.348188999,6035
0x84571f1bf97a5c710cbe51daff2dd4556cc887fd,7475117.396850007,4823
0xa5ea13a81d2b7e8e424b182bdc1db08e756bd96a,7403971.500892002,741
0x78ad03d27582cd1b5255d364ff8f093b6cf745cc,7400240.960715998,760
