date,category,taker_notional_volume
2024-01-01 00:00:00.000 UTC,Crypto,70642.89499099996
2024-01-01 00:00:00.000 UTC,Economy,82257.39555199999
2024-01-01 00:00:00.000 UTC,Entertainment,2959.829065
2024-01-01 00:00:00.000 UTC,Other,55286.755805999994
2024-01-01 00:00:00.000 UTC,Politics,154772.29687400002
2024-01-01 00:00:00.000 UTC,Sports,7422.2802120000015
2024-01-02 00:00:00.000 UTC,Crypto,242447.11762499998
2024-01-02 00:00:00.000 UTC,Economy,32344.165744
2024-01-02 00:00:00.000 UTC,Entertainment,19672.925819000004
2024-01-02 00:00:00.000 UTC,Other,42702.366305
2024-01-02 00:00:00.000 UTC,Politics,84730.20048200001
2024-01-02 00:00:00.000 UTC,Sports,13479.322229
2024-01-03 00:00:00.000 UTC,Crypto,389263.45740400004
2024-01-03 00:00:00.000 UTC,Economy,19293.535802
2024-01-03 00:00:00.000 UTC,Entertainment,72359.46067200003
2024-01-03 00:00:00.000 UTC,Other,124662.095645
2024-01-03 00:00:00.000 UTC,Politics,200935.21499399995
2024-01-03 00:00:00.000 UTC,Sports,9679.512502
2024-01-04 00:00:00.000 UTC,Crypto,498583.28920300043
2024-01-04 00:00:00.000 UTC,Economy,16161.040926999996
2024-01-04 00:00:00.000 UTC,Entertainment,20669.242214
2024-01-04 00:00:00.000 UTC,Other,86581.072861
2024-01-04 00:00:00.000 UTC,Politics,181822.56559499993
2024-01-04 00:00:00.000 UTC,Sports,15523.622046
2024-01-05 00:00:00.000 UTC,Crypto,728364.3742790003
2024-01-05 00:00:00.000 UTC,Economy,39740.466335
2024-01-05 00:00:00.000 UTC,Entertainment,8543.057806000003
2024-01-05 00:00:00.000 UTC,Other,78839.48446000002
2024-01-05 00:00:00.000 UTC,Politics,383339.87921600026
2024-01-05 00:00:00.000 UTC,Sports,11334.691638
2024-01-06 00:00:00.000 UTC,Crypto,484616.32191700005
2024-01-06 00:00:00.000 UTC,Economy,2583.438524
2024-01-06 00:00:00.000 UTC,Entertainment,6564.701208999999
2024-01-06 00:00:00.000 UTC,Other,72226.32447699999
2024-01-06 00:00:00.000 UTC,Politics,582299.861469
2024-01-06 00:00:00.000 UTC,Sports,19343.198739
2024-01-07 00:00:00.000 UTC,Crypto,545907.5783190001
2024-01-07 00:00:00.000 UTC,Economy,6187.936763000001
2024-01-07 00:00:00.000 UTC,Entertainment,2306.136665
2024-01-07 00:00:00.000 UTC,Other,76004.601544
2024-01-07 00:00:00.000 UTC,Politics,2144076.9901280007
2024-01-07 00:00:00.000 UTC,Sports,54980.113456
2024-01-08 00:00:00.000 UTC,Crypto,1042469.6074179992
2024-01-08 00:00:00.000 UTC,Economy,3652.018885
2024-01-08 00:00:00.000 UTC,Entertainment,5018.778141000001
2024-01-08 00:00:00.000 UTC,Other,27187.399341
2024-01-08 00:00:00.000 UTC,Politics,1694467.793892
2024-01-08 00:00:00.000 UTC,Sports,26873.8342
2024-01-09 00:00:00.000 UTC,Crypto,2900512.435000002
2024-01-09 00:00:00.000 UTC,Economy,2865.249713
2024-01-09 00:00:00.000 UTC,Entertainment,2223.9361660000004
2024-01-09 00:00:00.000 UTC,Other,90265.77693300002
2024-01-09 00:00:00.000 UTC,Politics,1224390.7801570005
2024-01-09 00:00:00.000 UTC,Sports,26685.804275000002
2024-01-10 00:00:00.000 UTC,Crypto,6607392.614699991
2024-01-10 00:00:00.000 UTC,Economy,4627.067763000001
2024-01-10 00:00:00.000 UTC,Entertainment,578.1099949999999
2024-01-10 00:00:00.000 UTC,Other,46570.773169999986
2024-01-10 00:00:00.000 UTC,Politics,1383364.77271
2024-01-10 00:00:00.000 UTC,Sports,7956.230285999998
2024-01-11 00:00:00.000 UTC,Crypto,921943.7906840001
2024-01-11 00:00:00.000 UTC,Economy,46643.490116
2024-01-11 00:00:00.000 UTC,Entertainment,6528.912298999998
2024-01-11 00:00:00.000 UTC,Other,37327.023732
2024-01-11 00:00:00.000 UTC,Politics,1253665.1393479991
2024-01-11 00:00:00.000 UTC,Sports,17462.767147000002
2024-01-12 00:00:00.000 UTC,Crypto,253055.08253200003
2024-01-12 00:00:00.000 UTC,Economy,26760.056677
2024-01-12 00:00:00.000 UTC,Entertainment,4885.635953
2024-01-12 00:00:00.000 UTC,Other,247928.57633400004
2024-01-12 00:00:00.000 UTC,Politics,2345586.0370619986
2024-01-12 00:00:00.000 UTC,Sports,23878.172555999998
2024-01-13 00:00:00.000 UTC,Crypto,76724.764825
2024-01-13 00:00:00.000 UTC,Economy,9889.342342
2024-01-13 00:00:00.000 UTC,Entertainment,1176.261192
